hospital_type,hospital_id,patient_id_compliance,med_rec_compliance,hand_hygiene_rate,timeout_compliance,suicide_screening_rate,falls_injury_rate,restraint_hours,readiness_score,accreditation_risk
Teaching,30,83.3,89,92.7,96.2,82.3,2,13,78.2,1
Community,31,94.8,79.3,80.5,93,95.9,3.4,11.7,76.05,1
Psychiatric,32,99.5,83.3,88.5,84.2,99.9,3.2,8,80.68,1
Community,33,95.7,86.3,81.5,99.3,70.9,3,8.6,76.44,0
Psychiatric,34,100.9,92.6,80.8,91.2,102.3,2.8,7.5,84.21,0
Critical Access,35,91.5,96.8,80.5,86.3,99.9,3.7,8.4,79.4,1
Community,36,97,79.8,70,89.2,85.4,3.4,6.5,74.23,1
Community,37,93.7,95,85.6,91.4,81.3,1.4,4.1,84.55,1
Teaching,38,94.4,95.1,83.9,89.8,79.8,1.6,5.1,82.85,0
Teaching,39,97.1,93.6,86.9,94.5,89.1,0.9,7.9,86.49,1
Teaching,40,96.2,96.3,82.2,93.9,64,3.4,11.5,73.97,1
Psychiatric,41,99.2,77.7,76.6,100.8,72.7,2.2,8.7,76.65,1
Psychiatric,42,99.6,79.8,85.7,93.6,95.5,3.9,12.3,76.89,1
Community,43,96.7,84.6,84.2,102.5,102.8,4.6,12.9,78.51,1
Community,44,94.4,92.5,85,95.3,63.9,4.3,5.5,74.87,1
Community,45,99.9,79.6,82.3,101,67.6,3.3,12.5,73.23,1
Critical Access,46,94.5,85.9,89.5,98.4,100.7,1.5,8.7,86.45,0
Teaching,47,101,86.6,76.9,95.2,68.6,3.4,10.1,73.81,1
Psychiatric,48,98.9,80.8,107.2,98.5,84.2,3.2,8.5,83.27,1
Community,49,94,94.7,88.7,99.6,75.8,2.7,10.2,80.06,1
Community,50,88.7,70,80.9,91.2,78.7,2.6,2.2,75.6,1
Critical Access,51,91.4,90.2,82.4,91.8,90.1,2.2,10.1,79.73,1
Community,52,99.5,89.9,83.4,95.3,77.2,4.3,6.9,77.01,1
Critical Access,53,94.9,86.1,86.2,97.9,83,2.9,11.1,78.27,1
Psychiatric,54,103.1,90.8,79.8,86.9,87,3,6.4,80.32,0
Critical Access,55,89.8,88.8,94.3,96.3,92,2.3,9.9,82.69,1
Psychiatric,56,95.9,88,77.1,92.9,67.2,3.3,12.3,71.47,1
Community,57,95.9,87.1,83.9,94.1,80,1.8,3.9,82.65,1
Community,58,88.7,82.5,79.6,103.5,85.6,3.6,12.8,74.38,1
Critical Access,59,95.6,86.9,84.5,92.8,81.3,2.8,7.7,78.77,1
Critical Access,60,97.4,90.1,88.2,87,94.8,2.8,4.1,83.85,1
Critical Access,61,82.5,84.9,94.4,98.6,73.7,1.7,12.7,77.07,1
Critical Access,62,93.9,101.6,80.4,93.2,96.7,1.9,11.6,83.56,1
Critical Access,63,105.1,91.2,81.3,85.9,73.6,3.3,10.2,75.72,1
Community,64,101,92.6,83.4,97.8,85.7,3.2,9.6,80.9,0
Community,65,95.2,84.4,81.6,96,80.2,4.6,11,72.78,1
Critical Access,66,101.4,88,85.4,107.3,65.2,4.5,10.7,75.11,1
Teaching,67,92.6,85,76.2,100.5,77.3,4.4,2.5,76.27,1
Psychiatric,68,94.9,89,87.2,88.4,68.2,4.1,13.2,70.74,1
Psychiatric,69,95.2,86.1,87.3,91.2,88.6,2.2,10.4,80.08,1
Community,70,97.4,90.6,86.4,95.2,72.6,3.3,9.7,76.99,1
Teaching,71,89.4,95.7,78.1,101.9,58.6,1.7,6.1,78.29,1
Critical Access,72,94.1,89.7,78.7,86.4,82.4,3.2,6.7,76.51,1
Psychiatric,73,93.1,97.1,77.2,93.8,98.7,2.8,6.9,82.93,1
Community,74,101.4,87.7,93,88.8,80,2.5,16.9,76.73,1
Psychiatric,75,98.4,87.7,85.6,101.7,76,1.9,10.2,80.98,1
Critical Access,76,91.7,84.2,91.4,89.5,86.5,1.8,8.4,80.86,0
Psychiatric,77,101.9,81.5,91.3,95.2,88.4,2.6,9.3,81.81,0
Teaching,78,94.1,87.3,97.1,93.9,74.5,4.6,7.8,76.28,1
Teaching,79,90.5,82.5,83.8,94.6,84.2,2.1,9.7,78.07,1
Psychiatric,80,94.7,96.5,72,91.2,83.7,1.4,10.1,79.77,1
Psychiatric,81,89.4,89.6,79.7,93.3,71.5,2,11.2,75.1,1
Critical Access,82,95.5,77.2,90.4,91.8,73.2,4,12.2,71.52,1
Critical Access,83,95.6,96.2,102.6,90.1,86.7,2.4,10.4,84.24,1
Critical Access,84,100.3,95.4,89.7,86.2,90.7,4.1,12.5,78.01,1
Critical Access,85,95.4,91.4,82.4,90.3,84.8,4.7,-1.8,80.36,0
Psychiatric,86,98.4,93,87.1,86.3,95.8,2.3,10,82.52,1
Teaching,87,94.4,79.1,84.4,88.6,88.7,4.9,1.9,76.29,0
Teaching,88,89.8,93.4,104.5,87.7,91.3,2.5,9.8,83.44,1
Teaching,89,84.1,90.3,79.6,94.5,63.3,2.8,8.2,72.66,1
Psychiatric,90,99,86.1,73.4,94.7,91.4,3.4,9,77.62,1
Psychiatric,91,96,91.7,85.3,91,73.2,2.3,7.3,79.19,1
Critical Access,92,92.8,94.9,85.4,93.9,83.6,2.9,3.3,82.67,0
Critical Access,93,94.3,79.6,81,93.7,91.4,2.7,4.6,80.3,1
Teaching,94,99.2,88.4,86.1,79.1,63,1.5,14,73.16,1
Psychiatric,95,103.1,82.8,87.9,98.1,83.7,3.3,7.1,80.97,1
Psychiatric,96,97.9,94.8,81.8,86.5,85.3,2.7,6.2,80.76,1
Teaching,97,95.7,102.2,68.9,97.6,81.3,3.9,10.1,76.29,1
Critical Access,98,95.3,78.5,81.2,88.9,90.7,3.5,9.2,75.32,1
Community,99,93.5,82.6,94.2,94.6,64.9,3.8,4.4,76.16,1
Critical Access,100,94.4,92.6,77.4,87.4,83.5,4.4,6.9,74.81,1
Critical Access,101,96,77.7,92.1,103.7,75.8,5.2,2,77.66,0
Teaching,102,98.5,89.6,80.4,96.3,93.4,2.6,10.8,81.04,1
Critical Access,103,89.2,92.4,89,82.1,90.8,2.5,5.1,81.15,1
Psychiatric,104,87.9,87,96.8,100,72.6,1.8,11.4,79.56,0
Critical Access,105,96.3,81.1,94.9,99.6,88.4,2.4,4.9,84.81,1
Critical Access,106,99.6,81.9,76,92.5,85.1,4,6.2,75.92,1
Critical Access,107,91.8,74.7,79.6,92.2,73.6,4.1,10.9,68.73,1
Community,108,93.3,75.1,85.6,97.6,80.4,1.8,5.7,79.95,1
Community,109,91.4,92.6,98.7,101.3,85.8,3.6,8.8,82.36,1
Teaching,110,93.8,91.8,91.6,86.9,81.2,2.2,7.6,80.86,1
Teaching,111,93.7,90.1,89.4,99.8,76,2.1,10.5,80.35,1
Teaching,112,95.7,91,85.4,90.8,88.6,5.3,10.7,74.35,1
Community,113,93.2,90.6,81,91.4,81.6,2.6,4.7,80.01,1
Teaching,114,91.4,81.6,76.5,97.6,87.6,3.4,7.3,76.49,1
Critical Access,115,90,85.3,74.3,93.7,98.2,2.4,6.9,80.05,1
Community,116,95,85.1,93.4,92,84.9,2.6,4.7,82.53,0
Community,117,96,88.1,75.8,99.1,74.2,3.7,10.8,73.84,1
Psychiatric,118,97.9,92.7,84.8,97.8,67.6,4.4,8.1,75.31,1
Community,119,97.2,76.3,88.6,94.8,62.6,3.7,8.1,72.45,1
Critical Access,120,100,91.6,91.3,89.6,77.2,3.6,4,80.74,1
Teaching,121,93.2,86.6,85.9,95.3,95.4,0.7,11,84.38,1
Psychiatric,122,99.4,89.8,83.9,86.2,76.9,2.1,4.6,80.74,0
Teaching,123,100.8,92,93.3,87.3,73.1,4.6,7.8,76.2,1
Teaching,124,99.9,86,85.1,87.3,78.4,3.4,1,80.04,1
Critical Access,125,101.9,84.9,91.2,92.6,88.7,3.8,13,77.76,1
Psychiatric,126,91.9,87.7,80.5,89.6,88.7,4.3,7.3,75.43,1
Community,127,94.6,83.5,96.2,87.9,68.4,1.5,12,77.12,1
Critical Access,128,93.9,80.2,78.5,89.6,78.1,1.9,8.5,76.01,1
Psychiatric,129,96.6,91.2,95.1,95.6,95.6,1.3,8.1,88.17,0
Community,130,94.1,82.8,82.9,89.1,80.8,1.4,3,81.64,0
Community,131,96.2,99.9,84.5,86.8,60,0.1,7.1,81.73,0
Critical Access,132,90.2,85.2,102.3,107.3,71.3,2.4,7.6,82.66,0
Teaching,133,95.2,89.6,97.1,94.1,77.9,4.2,14,75.38,1
Community,134,94.2,94.6,82.2,87,61.1,3.2,9.2,72.82,1
Psychiatric,135,94.5,91.7,92.6,93.6,87.9,3.2,13.1,79.11,1
Critical Access,136,97,92.9,91.5,96.6,77.4,3.8,6.7,80.13,0
Psychiatric,137,91,92,76.7,90.5,82.6,3.4,6,76.76,1
Critical Access,138,91.5,86.4,95.7,102.4,91,2.8,5.9,84.85,1
Community,139,100.9,98.3,83,92.8,75.8,1.8,11,81.06,1
Psychiatric,140,92.4,99.1,91,92.5,90.5,2.5,8.6,83.8,1
Psychiatric,141,94.5,88.4,77.7,98.3,74.2,3,7.7,76.77,1
Psychiatric,142,93.1,94.7,91.1,103.9,73.1,4.4,10.4,77.18,1
Critical Access,143,93.8,95.2,91.8,92.1,96.5,2.8,6.7,84.93,0
Teaching,144,92,88.2,71.9,92.1,97.4,1.3,9.8,80.82,1
Teaching,145,95.5,98.8,84.5,95.8,78.4,5.1,7.2,76.8,1
Psychiatric,146,104.6,96.3,97.1,96.3,79.8,4.4,7.9,82.07,1
Psychiatric,147,99.6,80.9,77.8,95.3,77.9,4.5,4.8,74.9,1
Teaching,148,96.4,86.9,90.2,93.8,98.3,2.9,7.4,83.62,1
Critical Access,149,91.8,89.3,80.7,99.7,60.7,2.3,6.2,76.74,0
Psychiatric,150,97,82.3,81,91.1,89.2,1,1.9,85.17,0
Teaching,151,101.2,92.1,96.5,99.2,82.6,3.4,10.4,82.32,1
Psychiatric,152,87.1,101.3,91.9,93.7,82.4,1.2,4.9,86.43,0
Psychiatric,153,102.4,78,80.6,101,83.7,3.8,13.3,74.89,1
Community,154,98.2,84.4,71.5,92.9,83.1,2.6,10.5,75.57,1
Community,155,95.4,86.4,80.3,98.7,87.7,3.4,9.2,78.3,1
Critical Access,156,99,84.5,85.8,89.9,94.3,4.5,10,76.7,1
Psychiatric,157,88.6,95.5,89.3,94.2,83.6,3,0.1,84.19,1
Psychiatric,158,94,91.2,97.1,96.6,80.9,2.5,12.6,80.66,1
Teaching,159,97.7,100.4,76.3,92.2,71.8,3.7,8.6,75.98,1
Teaching,160,84.6,84.8,78.3,97.7,93.3,5.1,4.9,75.09,1
Critical Access,161,94.7,95.3,78.9,96.6,73.8,3.3,7.8,77.36,1
Teaching,162,93,79.4,84.9,87.7,83.1,2.7,15,72.72,1
Community,163,101.8,90.3,84.5,102.3,83.8,1.7,8.8,84.74,0
Teaching,164,90.4,88.6,77.2,107.5,87.9,3.7,6.6,79.62,1
Psychiatric,165,89.5,87.1,75.1,91.9,92.9,3.3,5.6,77.9,1
Critical Access,166,95.6,92.9,83.1,93.3,87.2,4,9.1,77.87,1
Critical Access,167,93.7,83.4,77.8,94.6,63.6,3.7,4.2,73.12,1
Community,168,86.1,87.9,94.2,91.4,83.5,2.2,5.4,81.52,1
Community,169,93.6,78.9,89.2,90.5,95.8,1.4,10.1,81.75,0
Critical Access,170,92,80.9,86.2,95.8,67.7,2.4,5.1,77.17,0
Teaching,171,99.7,85.7,78.7,88.6,84.9,3.6,6.5,77.07,1
Critical Access,172,98.2,84.6,83.5,94,75.1,3,17.1,72.53,1
Teaching,173,91.5,78.6,75.9,96.9,75.7,2.6,7.6,74.72,1
Community,174,93.3,86.4,91.4,88.4,85.6,3.3,4.9,79.97,1
Community,175,96.8,88.1,94,85.4,81.3,2.8,4.1,81.47,0
Critical Access,176,91.9,93.2,101,84.3,66.1,2.2,4.6,80.6,1
Critical Access,177,96.9,93.7,91.5,93.2,80.5,2.9,4,83.36,0
Critical Access,178,97.3,90,83.9,96.5,94.1,2.6,6.2,84.06,1
Teaching,179,93.6,92.6,80,90.6,73.1,4.3,13.1,70.83,1
Teaching,180,98,89.3,77.1,93.3,75.5,4.3,11.9,72.09,1
Community,181,92.9,96.3,86.4,98.5,97.4,2.8,9.8,83.8,1
Psychiatric,182,93.3,89.6,87.9,96,79.8,1.8,5.3,83.07,0
Critical Access,183,92.7,88.7,83.1,96.4,78.2,3.5,4.4,78.62,1
Community,184,93.3,90.4,78.9,100.2,67.9,3.7,7.9,74.79,1
Community,185,97.6,85,82.6,92.2,102.3,2.2,8.1,83.49,0
Teaching,186,98.5,93.1,83.8,90.9,91,6,7.6,75.66,1
Critical Access,187,92.6,96.4,79.1,92.9,77.5,5,7,74.2,1
Teaching,188,95,80.6,90.1,90,76.3,2.4,8.9,77.15,1
Community,189,100.8,88.4,97.2,89.6,92.5,4.2,6.4,82.1,1
Teaching,190,97.2,91.8,97.9,101,70.5,1.1,8.1,85.43,1
Psychiatric,191,97.3,95.7,80.6,100.8,95.4,2,11,84.46,0
Psychiatric,192,94.3,91.4,70.8,84.5,71.4,2.7,4.8,74.68,1
Psychiatric,193,91.1,95.5,88.6,87.1,65.3,1.7,12.4,75.92,1
Psychiatric,194,93.6,82.9,75.8,93.9,81.5,2.4,5.6,77.94,0
Critical Access,195,95.5,102.7,90.7,90.6,65.7,3.2,8.8,78.24,1
Community,196,91.1,83.5,94.4,94.7,88.5,3.6,5.3,80.59,1
Teaching,197,95.2,82.2,82.3,84.2,70.4,4.3,12.8,67.86,1
Teaching,198,100.9,85.1,82.1,100.2,79.4,2.9,6.7,80.39,1
Psychiatric,199,97.8,88.1,93.7,103.3,75.2,2.4,13.5,80.07,0
Psychiatric,200,94.8,81.9,74,93.7,93.3,2.2,8.2,79.04,1
Community,201,95.5,89.6,87.6,96.2,69.3,1.4,7.8,80.94,1
Critical Access,202,98,83.6,85.8,97.3,91.9,4.7,11.4,76.22,1
Critical Access,203,94,103.3,81.9,92.6,92.2,3.4,8.5,81.75,1
Community,204,102.1,85.8,89,91.7,74.8,4.1,8.4,76.28,1
Psychiatric,205,86.1,85.4,81.1,89.7,82.9,2.3,5.6,77.64,1
Critical Access,206,96.5,92,95.3,96.3,85.6,3.9,8.7,80.99,1
Teaching,207,93.2,88.7,77.4,98.8,80.7,3.6,8.2,76.46,1
Teaching,208,93.1,79.3,84.1,101,92.3,3.2,1.7,82.71,1
Teaching,209,100.6,92.7,92,95.9,86.4,1.9,6.7,86.37,1
Psychiatric,210,93.9,93.9,87.5,99.5,71.7,2.7,3.1,82.35,1
Critical Access,211,98,84.9,93.6,94,78.9,4.8,7.8,76.38,0
Psychiatric,212,96.6,83.4,86.1,97,67,2.8,6.2,77.32,1
Community,213,99.8,94.6,78.1,90.8,87.3,4.4,6.7,77.97,1
Community,214,92.4,83.2,89.1,77.1,89.5,3.7,10.8,73.46,1
Community,215,93.9,89.4,83.7,91.5,98.8,1.7,11.5,82.31,1
Teaching,216,93.4,84.1,83.6,97.6,51.4,3.7,9.4,69.92,1
Critical Access,217,88.6,83.5,91.1,89.6,68.8,4.3,3.6,73.92,0
Community,218,86.1,80.2,87.4,85.5,77.6,4,7.3,71.71,1
Psychiatric,219,102.2,82.6,83.2,104.9,99.4,2.9,7.1,85.11,0
Community,220,94.7,71.6,80.6,92.7,76.2,3.4,13.5,69.61,1
Teaching,221,98.4,86,77.2,98.3,86.9,2,2.8,83.96,1
Community,222,93.2,86,78.1,106.9,97.7,3.2,14,78.98,1
Psychiatric,223,94.9,88.7,88.2,89.9,83.3,1.9,11.6,79.4,0
Teaching,224,100.1,92.9,81.8,86.6,76.4,2.3,12,76.96,1
Critical Access,225,90.4,88.8,78.2,88.8,75,2.5,6.9,75.79,1
Teaching,226,103.6,90.3,81.8,96.9,52.4,3.1,4.6,76.5,1
Community,227,92.5,91.7,75.7,98.8,88.4,4.5,7.4,76.72,1
Community,228,93.1,88,102.1,98.1,70.9,2.5,6.5,82.19,0
Psychiatric,229,95,89.6,87,97.5,73.4,4.2,6.6,76.8,1
Critical Access,230,96.2,93.6,72.4,85.7,77.6,2.9,7.2,75.7,1
Community,231,92.2,82.6,93.4,96,59.9,2.4,5.9,77.07,1
Community,232,100.2,85.4,92.2,92.4,75.7,3.9,8.3,77.23,0
Teaching,233,97.5,78.5,92,87.9,76.1,2.2,9.9,77.05,1
Psychiatric,234,91.1,79.6,92.8,93.3,74.2,1.8,7.7,78.75,1
Critical Access,235,92.4,96.4,90.3,96.1,85.4,5,13.4,75.42,1
Teaching,236,95.8,89.1,87.3,109.7,78.8,2.9,4.3,84.19,1
Critical Access,237,95.3,87,84.2,93.2,80.2,4.7,4.6,76.28,1
Community,238,101.5,91.1,89.3,86.8,73.6,3.9,9.7,75.81,0
Psychiatric,239,91.5,95.9,89.7,89.5,67.4,1.6,8.3,79.45,1
Critical Access,240,97.7,89.8,72.7,91,92.8,3.8,12.1,75.15,1
Community,241,88.2,96,77.5,87.9,84.7,4.2,4.8,76.06,1
Community,242,96.9,98.7,96.7,87.8,94.7,3,14.7,81.61,1
Critical Access,243,94.6,87.7,89.2,95.2,107.3,2.5,9.4,85.1,1
Critical Access,244,92.8,85.7,97.9,88.7,99.4,3.5,2.2,84.8,0
Psychiatric,245,97.1,76.4,95.9,96.5,82.7,3.1,12.4,77.32,1
Psychiatric,246,99.1,94.3,79.7,96.2,97.3,3.3,2.8,85.32,0
Critical Access,247,92.7,84.6,82.3,90.4,90.1,4.2,11.2,74.02,1
Teaching,248,95.5,88.4,96.2,95.2,65.2,2.9,11.4,76.6,0
Teaching,249,94.4,90,78.7,90.9,77.4,2.2,5.6,79.08,0
Teaching,250,91.2,82.9,91.4,91.7,83.9,3.7,11.1,75.27,1
Community,251,92.1,97.9,82,94.3,87.4,3.1,6.6,81.24,0
Critical Access,252,96.4,92.7,78.1,87.5,82.9,2.1,5.7,80.47,1
Psychiatric,253,89.3,87.4,77.5,86.5,75.4,3.8,0.6,75.32,1
Community,254,100.1,85.6,75.3,89.3,69.1,2.7,6.7,75.13,0
Critical Access,255,96.8,88.8,80.5,97.6,86.5,3.1,8.8,79.44,1
Critical Access,256,95,82.5,84.2,92.8,81.3,4.7,11.2,72.16,1
Psychiatric,257,94,94.6,76.4,89.8,73.4,1.8,11.8,76.14,1
Critical Access,258,97.6,91.6,94,90.8,63.1,2.8,6.1,78.77,0
Community,259,94.2,82.4,85.4,92.9,107.3,4,6.7,81.09,1
Psychiatric,260,94.3,92.3,92.3,92.5,88.2,2.5,6.3,83.77,1
Psychiatric,261,90.9,91.4,77.6,94.5,92.6,1.6,9.3,81.55,1
Psychiatric,262,92.9,99.7,83.9,99.4,86.9,0.9,9.4,86.06,0
Teaching,263,97.4,83.6,77,95.2,95.4,2.5,7.2,81.12,1
Community,264,97.1,91.8,81,92.8,92,3,7.4,81.24,1
Community,265,97,96.9,75.7,98.1,81.9,4.1,8.1,77.67,1
Teaching,266,94.1,85.9,65.1,82.4,90.2,2,8.7,75.19,1
Critical Access,267,96.7,82.1,89.9,95.9,94.4,2.3,9,82.7,1
Critical Access,268,99.3,79.1,97.8,97.7,81.5,2.5,8.3,81.93,1
Psychiatric,269,97,88.3,78.4,82.7,97.1,1.7,13.6,78.5,1
Psychiatric,270,91.9,92,89.7,99,68.4,1.6,9.5,80.25,1
Teaching,271,93.6,85.8,73.4,90.6,73.3,3.4,10.6,71.24,1
Critical Access,272,96.4,96.4,81.2,101.1,76.4,3.2,7.5,80.15,1
Community,273,92.7,94.2,81.8,91.2,81.9,2.9,11.3,76.91,1
Community,274,96.9,86.6,84.3,98.2,95.1,5.6,8,77.02,1
Teaching,275,100.7,96.1,85.2,84.7,88.1,2.3,13.4,79.66,1
Teaching,276,97.9,93,87.5,98.5,71.8,3.2,7.8,79.44,0
Critical Access,277,94.9,86.5,88.1,91.1,74.5,2.1,4.5,80.57,0
Psychiatric,278,94.2,81.2,84.6,92.4,87.8,2.8,6.3,79.29,1
Critical Access,279,100,86.8,80.3,96.8,79.7,5.1,0.9,78.07,1
Teaching,280,94.2,82.1,90.6,91.6,98.7,2.1,10.4,82.04,1
Psychiatric,281,97.4,89.4,87.8,86.7,74.4,4.1,1.9,77.99,1
Community,282,94.2,89.3,84.2,99.2,78.4,3.9,11.6,75.46,1
Psychiatric,283,101.7,94,80.3,98.1,72.3,3.8,8.5,77.43,1
Teaching,284,98.7,76.2,81.6,89.5,88.8,2.6,13.2,75.16,1
Teaching,285,95.7,88.2,87,96.7,80.8,2.1,8.4,81.28,1
Teaching,286,101,80.6,82,83.6,82.9,2.8,7.5,76.67,1
Critical Access,287,93.9,87.8,94,93.6,73.6,4.2,5.9,77.23,1
Community,288,95.3,83.6,83,93.4,96.3,1.7,4.8,84.52,1
Teaching,289,100.1,98.6,86.4,94.7,93.2,4.4,9.2,81.2,1
Psychiatric,290,92.7,74.2,92.7,97.3,79.5,5.2,10.3,71.73,1
Critical Access,291,89,81.8,91.1,91.3,64.3,4.4,7.5,70.95,1
Psychiatric,292,94.5,90.3,92.9,88.2,49.6,2.7,2.4,76.5,1
Critical Access,293,95.7,92.4,88.8,96.1,77.4,2.8,11.3,78.83,1
Psychiatric,294,98.2,88.9,86.3,101.2,87.9,3.3,10.7,80.55,1
Community,295,97.7,87.4,92.5,98.9,82.1,5,7.2,78.12,1
Critical Access,296,94.7,78.3,102.7,94.3,79.7,1.2,6.4,84.34,0
Psychiatric,297,93.3,92.1,105.7,100.2,69.9,1.7,8.4,84.64,1
Teaching,298,100.8,87.8,86.8,94,61.1,3.1,7.3,76.25,1
Community,299,93.8,95.3,100.6,100,84.5,4.2,12.3,80.29,1
Critical Access,300,94,83.8,88.2,92.2,77,2.9,11.1,75.69,1
